"epoch","light-grass-2670 - _step","light-grass-2670 - _step__MIN","light-grass-2670 - _step__MAX","light-grass-2670 - grad_norm_epoch","light-grass-2670 - grad_norm_epoch__MIN","light-grass-2670 - grad_norm_epoch__MAX","hopeful-fire-2669 - _step","hopeful-fire-2669 - _step__MIN","hopeful-fire-2669 - _step__MAX","hopeful-fire-2669 - grad_norm_epoch","hopeful-fire-2669 - grad_norm_epoch__MIN","hopeful-fire-2669 - grad_norm_epoch__MAX","fresh-grass-2668 - _step","fresh-grass-2668 - _step__MIN","fresh-grass-2668 - _step__MAX","fresh-grass-2668 - grad_norm_epoch","fresh-grass-2668 - grad_norm_epoch__MIN","fresh-grass-2668 - grad_norm_epoch__MAX","radiant-disco-2667 - _step","radiant-disco-2667 - _step__MIN","radiant-disco-2667 - _step__MAX","radiant-disco-2667 - grad_norm_epoch","radiant-disco-2667 - grad_norm_epoch__MIN","radiant-disco-2667 - grad_norm_epoch__MAX","ethereal-cosmos-2665 - _step","ethereal-cosmos-2665 - _step__MIN","ethereal-cosmos-2665 - _step__MAX","ethereal-cosmos-2665 - grad_norm_epoch","ethereal-cosmos-2665 - grad_norm_epoch__MIN","ethereal-cosmos-2665 - grad_norm_epoch__MAX","smooth-gorge-2662 - _step","smooth-gorge-2662 - _step__MIN","smooth-gorge-2662 - _step__MAX","smooth-gorge-2662 - grad_norm_epoch","smooth-gorge-2662 - grad_norm_epoch__MIN","smooth-gorge-2662 - grad_norm_epoch__MAX","leafy-sunset-2659 - _step","leafy-sunset-2659 - _step__MIN","leafy-sunset-2659 - _step__MAX","leafy-sunset-2659 - grad_norm_epoch","leafy-sunset-2659 - grad_norm_epoch__MIN","leafy-sunset-2659 - grad_norm_epoch__MAX"
"0","56","56","56","184.65072631835938","184.65072631835938","184.65072631835938","84","84","84","67.60543060302734","67.60543060302734","67.60543060302734","20","20","20","120.62073516845703","120.62073516845703","120.62073516845703","68","68","68","119.56395721435547","119.56395721435547","119.56395721435547","26","26","26","60.240447998046875","60.240447998046875","60.240447998046875","30","30","30","152.53494262695312","152.53494262695312","152.53494262695312","4","4","4","123.46044158935547","123.46044158935547","123.46044158935547"
"1","113","113","113","95.93766784667969","95.93766784667969","95.93766784667969","171","171","171","38.944637298583984","38.944637298583984","38.944637298583984","43","43","43","77.20972442626953","77.20972442626953","77.20972442626953","137","137","137","81.63713073730469","81.63713073730469","81.63713073730469","55","55","55","38.23824691772461","38.23824691772461","38.23824691772461","61","61","61","39.33724594116211","39.33724594116211","39.33724594116211","11","11","11","97.38932037353516","97.38932037353516","97.38932037353516"
"2","170","170","170","83.35645294189453","83.35645294189453","83.35645294189453","258","258","258","32.61294937133789","32.61294937133789","32.61294937133789","64","64","64","58.7177734375","58.7177734375","58.7177734375","208","208","208","35.88642883300781","35.88642883300781","35.88642883300781","82","82","82","26.474218368530273","26.474218368530273","26.474218368530273","92","92","92","19.426280975341797","19.426280975341797","19.426280975341797","16","16","16","96.12348175048828","96.12348175048828","96.12348175048828"
"3","227","227","227","71.16800689697266","71.16800689697266","71.16800689697266","343","343","343","29.19208526611328","29.19208526611328","29.19208526611328","87","87","87","49.17422103881836","49.17422103881836","49.17422103881836","277","277","277","26.3797607421875","26.3797607421875","26.3797607421875","111","111","111","20.82818031311035","20.82818031311035","20.82818031311035","123","123","123","5.084519863128662","5.084519863128662","5.084519863128662","23","23","23","90.04520416259766","90.04520416259766","90.04520416259766"
"4","284","284","284","69.39160919189453","69.39160919189453","69.39160919189453","","","","","","","110","110","110","40.51741027832031","40.51741027832031","40.51741027832031","346","346","346","20.528789520263672","20.528789520263672","20.528789520263672","138","138","138","18.68275260925293","18.68275260925293","18.68275260925293","154","154","154","2.3234829902648926","2.3234829902648926","2.3234829902648926","28","28","28","85.54772186279297","85.54772186279297","85.54772186279297"
"5","341","341","341","65.93030548095703","65.93030548095703","65.93030548095703","","","","","","","131","131","131","36.98877716064453","36.98877716064453","36.98877716064453","","","","","","","167","167","167","13.27559757232666","13.27559757232666","13.27559757232666","185","185","185","1.6017438173294067","1.6017438173294067","1.6017438173294067","35","35","35","75.39253997802734","75.39253997802734","75.39253997802734"
"6","","","","","","","","","","","","","154","154","154","31.774303436279297","31.774303436279297","31.774303436279297","","","","","","","194","194","194","12.218352317810059","12.218352317810059","12.218352317810059","216","216","216","1.2817914485931396","1.2817914485931396","1.2817914485931396","40","40","40","66.16712188720703","66.16712188720703","66.16712188720703"
"7","","","","","","","","","","","","","177","177","177","23.213605880737305","23.213605880737305","23.213605880737305","","","","","","","223","223","223","12.09720516204834","12.09720516204834","12.09720516204834","247","247","247","0.9463170170783997","0.9463170170783997","0.9463170170783997","47","47","47","71.11444091796875","71.11444091796875","71.11444091796875"
"8","","","","","","","","","","","","","198","198","198","19.47532844543457","19.47532844543457","19.47532844543457","","","","","","","250","250","250","8.460384368896484","8.460384368896484","8.460384368896484","278","278","278","0.9374071359634399","0.9374071359634399","0.9374071359634399","52","52","52","48.70724105834961","48.70724105834961","48.70724105834961"
"9","","","","","","","","","","","","","221","221","221","19.966907501220703","19.966907501220703","19.966907501220703","","","","","","","279","279","279","6.217236518859863","6.217236518859863","6.217236518859863","309","309","309","0.29598718881607056","0.29598718881607056","0.29598718881607056","59","59","59","49.65010452270508","49.65010452270508","49.65010452270508"
